Page,URL,Description
82,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:82&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 82 Tools, implements, cutlery, etc of base metal"
83,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:83&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 83 Miscellaneous articles of base metal
84,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:84&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 84 Nuclear reactors, boilers, machinery, etc"
85,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:85&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 85 Electrical, electronic equipment"
86,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:86&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 86 Railway, tramway locomotives, rolling stock, equipmen"
87,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:87&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 87 Vehicles other than railway, tramway"
88,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:88&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 88 Aircraft, spacecraft, and parts thereof"
89,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:89&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 89 Ships, boats and other floating structures"
90,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:90&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 90 Optical, photo, technical, medical, etc apparatus"
91,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:91&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 91 Clocks and watches and parts thereof
92,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:92&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 92 Musical instruments, parts and accessories"
93,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:93&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 93 Arms and ammunition, parts and accessories thereof"
94,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:94&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 94 Furniture, lighting, signs, prefabricated buildings"
95,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:95&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 95 Toys, games, sports requisites"
96,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:96&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 96 Miscellaneous manufactured articles
97,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:97&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 97 Works of art, collectors pieces and antiques"
98,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:98&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 99 Commodities not specified according to kind
